id;bnnp_bnnk;created_at;level;parent
41;BNN Kabupaten Aceh Selatan;2020-09-09 11:10:47.750681+07;1;3
45;BNN Kota Banda Aceh;2020-09-09 11:11:20.395385+07;1;3
124;BNN Kota Surakarta;2023-12-15 15:19:30.868969+07;1;
4;BNNP Sumatera Utara;2020-07-10 16:22:03.533866+07;"0";
39;BNN Kota Langsa;2020-09-09 11:10:32.394548+07;1;
40;BNN Kota Lhokseumawe;2020-09-09 11:10:40.145267+07;1;
43;BNN Kota Sabang;2020-09-09 11:11:03.203095+07;1;
53;BNN Kota Pematang Siantar;2020-09-09 11:12:23.089257+07;1;
55;BNN Kota Binjai;2020-09-09 11:12:39.334692+07;1;
56;BNN Kota Tanjung Balai;2020-09-09 11:12:46.599886+07;1;
57;BNN Kota Gunungsitoli;2020-09-09 11:12:55.150128+07;1;
60;BNN Kota Tebing Tinggi;2020-09-09 11:13:24.544599+07;1;
62;BNN Kota Payakumbuh;2020-09-09 11:13:40.409029+07;1;
63;BNN Kota Sawahlunto;2020-09-09 11:13:48.061551+07;1;
66;BNN Kota Pekanbaru ;2020-09-09 11:14:10.244677+07;1;
69;BNN Kota Dumai;2020-09-09 11:14:32.868712+07;1;
71;BNN Kota Jambi;2020-09-09 11:14:50.902418+07;1;
74;BNN Kota Bengkulu;2020-09-09 11:15:14.780855+07;1;
75;BNN Kota Prabumulih;2020-09-09 11:15:22.115037+07;1;
76;BNN Kota Pagar Alam;2020-09-09 11:15:30.723301+07;1;
77;BNN Kota Lubuk Linggau;2020-09-09 11:15:38.214404+07;1;
88;BNN Kota Metro;2020-09-09 11:17:08.963288+07;1;
89;BNN Kota Tanjungpinang ;2020-09-09 11:17:16.008195+07;1;
91;BNN Kota Batam ;2020-09-09 11:17:29.731106+07;1;
96;BNN Kota Tangerang Selatan ;2020-09-09 11:18:05.713352+07;1;
97;BNN Kota Cilegon ;2020-09-09 11:18:13.04527+07;1;
98;BNN Kota Tangerang  ;2020-09-09 11:18:20.009191+07;1;
99;BNN Kota Jakarta Selatan ;2020-09-09 11:18:31.717657+07;1;
101;BNN Kota Jakarta Utara ;2020-09-09 11:18:45.61305+07;1;
108;BNN Kota Depok ;2020-09-09 11:19:32.419468+07;1;
138;BNN Kota Kediri;2020-09-09 11:23:05.367469+07;1;
17;BNNP Daerah Istimewa Yogyakarta;2020-09-09 11:03:07.146831+07;"0";
5;BNNP Sumatera Barat;2020-09-03 15:18:13.943188+07;"0";
6;BNNP Riau;2020-09-03 15:19:52.471382+07;"0";
7;BNNP Jambi;2020-09-03 15:20:07.114541+07;"0";
8;BNNP Bengkulu;2020-09-03 15:20:16.831341+07;"0";
9;BNNP Sumatera Selatan;2020-09-03 15:20:30.541944+07;"0";
10;BNNP Lampung;2020-09-09 11:00:03.309475+07;"0";
11;BNNP Kepulauan Riau ;2020-09-09 11:00:12.42416+07;"0";
13;BNNP Banten;2020-09-09 11:01:01.680773+07;"0";
14;BNNP DKI Jakarta;2020-09-09 11:01:10.088626+07;"0";
15;BNNP Jawa Barat;2020-09-09 11:01:20.301728+07;"0";
